file,x,y,w,h
naruto_000.png,33,18,35,52
naruto_001.png,131,18,37,52
naruto_002.png,232,20,36,50
naruto_003.png,333,19,35,51
naruto_004.png,434,23,37,47
naruto_005.png,533,22,40,46
naruto_006.png,833,23,38,47
naruto_007.png,933,22,39,46
naruto_008.png,632,24,38,46
naruto_009.png,738,24,32,46
naruto_010.png,32,107,38,46
naruto_011.png,138,107,32,46
naruto_012.png,227,109,47,41
naruto_013.png,325,110,48,40
naruto_014.png,435,103,33,50
naruto_015.png,536,108,32,45
naruto_016.png,634,105,34,48
naruto_017.png,737,101,39,51
naruto_018.png,837,101,39,51
naruto_019.png,931,100,34,52
naruto_020.png,31,183,34,52
naruto_021.png,334,185,38,47
naruto_022.png,432,185,37,51
naruto_023.png,531,189,38,47
naruto_024.png,729,191,36,45
naruto_025.png,133,193,33,43
naruto_026.png,230,201,34,35
naruto_027.png,628,192,42,44
naruto_028.png,828,192,42,44
naruto_029.png,928,192,42,44
naruto_030.png,939,256,34,61
naruto_031.png,22,282,53,34
naruto_032.png,124,282,39,36
naruto_033.png,322,282,53,34
naruto_034.png,422,282,53,34
naruto_035.png,523,277,57,32
naruto_036.png,623,286,57,30
naruto_037.png,723,282,56,27
naruto_038.png,823,273,56,31
naruto_039.png,221,305,53,14
naruto_040.png,39,339,28,61
naruto_041.png,140,339,24,60
naruto_042.png,239,339,25,60
naruto_043.png,332,357,32,50
naruto_044.png,406,356,58,29
naruto_045.png,529,336,35,56
naruto_046.png,628,366,35,28
naruto_047.png,737,366,28,35
naruto_048.png,837,366,28,35
naruto_049.png,937,374,35,28
naruto_050.png,38,453,28,35
naruto_051.png,326,448,49,28
naruto_052.png,425,436,51,46
naruto_053.png,533,446,30,39
naruto_054.png,632,433,36,52
naruto_055.png,732,433,36,52
naruto_056.png,833,433,35,52
naruto_057.png,934,433,34,52
naruto_058.png,132,457,35,28
naruto_059.png,230,458,28,27
naruto_060.png,36,516,40,50
naruto_061.png,138,516,37,48
naruto_062.png,239,516,36,47
naruto_063.png,336,515,29,53
naruto_064.png,436,514,25,54
naruto_065.png,537,514,24,54
naruto_066.png,637,514,24,54
naruto_067.png,736,514,25,54
naruto_068.png,836,514,25,54
naruto_069.png,937,515,30,53
naruto_070.png,37,597,29,54
naruto_071.png,137,597,29,54
naruto_072.png,237,597,29,54
naruto_073.png,337,597,29,54
naruto_074.png,437,597,29,54
naruto_075.png,535,597,33,54
naruto_076.png,932,599,36,52
naruto_077.png,637,601,43,50
naruto_078.png,737,602,47,49
naruto_079.png,837,601,35,50
naruto_080.png,32,682,36,52
naruto_081.png,133,682,35,52
naruto_082.png,234,685,26,49
naruto_083.png,331,684,46,50
naruto_084.png,426,686,34,48
naruto_085.png,528,688,26,46
naruto_086.png,629,688,27,46
naruto_087.png,727,694,57,40
naruto_088.png,826,693,54,41
naruto_089.png,932,685,40,49
naruto_090.png,533,766,35,51
naruto_091.png,37,777,39,40
naruto_092.png,138,773,44,44
naruto_093.png,244,777,56,40
naruto_094.png,344,780,44,37
naruto_095.png,439,770,33,47
naruto_096.png,636,769,32,48
naruto_097.png,732,770,36,47
naruto_098.png,833,772,35,45
naruto_099.png,929,772,39,45
naruto_100.png,33,852,35,48
naruto_101.png,133,847,33,53
naruto_102.png,233,850,39,50
naruto_103.png,333,850,28,50
naruto_104.png,432,852,32,48
naruto_105.png,526,848,41,52
naruto_106.png,624,850,42,50
naruto_107.png,736,850,37,50
naruto_108.png,832,853,35,47
naruto_109.png,928,860,38,40
naruto_110.png,137,913,44,67
naruto_111.png,239,917,27,63
naruto_112.png,332,922,31,53
naruto_113.png,434,927,33,46
naruto_114.png,527,929,55,42
naruto_115.png,626,929,50,42
naruto_116.png,730,923,40,47
naruto_117.png,831,933,35,50
naruto_118.png,35,939,45,44
naruto_119.png,930,944,35,39
naruto_120.png,32,1017,36,49
naruto_121.png,137,1017,46,49
naruto_122.png,337,1027,35,39
naruto_123.png,431,1019,31,47
naruto_124.png,531,1028,32,38
naruto_125.png,633,1028,30,38
naruto_126.png,738,1025,31,41
naruto_127.png,840,1024,52,42
naruto_128.png,940,1027,36,39
naruto_129.png,237,1032,44,34
naruto_130.png,130,1100,41,48
naruto_131.png,233,1101,31,43
naruto_132.png,331,1096,53,51
naruto_133.png,431,1101,53,56
naruto_134.png,531,1101,33,56
naruto_135.png,631,1101,33,50
naruto_136.png,731,1100,33,48
naruto_137.png,830,1097,36,51
naruto_138.png,930,1097,35,51
naruto_139.png,38,1105,29,44
naruto_140.png,31,1180,34,51
naruto_141.png,132,1180,33,51
naruto_142.png,225,1184,49,45
naruto_143.png,322,1181,52,48
naruto_144.png,428,1197,43,35
naruto_145.png,634,1189,36,43
naruto_146.png,732,1180,36,52
naruto_147.png,832,1180,36,52
naruto_148.png,933,1180,35,52
naruto_149.png,533,1200,38,32
naruto_150.png,34,1266,26,49
naruto_151.png,131,1265,46,50
naruto_152.png,226,1267,34,48
naruto_153.png,328,1269,26,46
naruto_154.png,429,1269,27,46
naruto_155.png,732,1266,40,49
naruto_156.png,828,1268,46,33
naruto_157.png,527,1275,57,40
naruto_158.png,626,1274,54,41
naruto_159.png,928,1272,47,51
naruto_160.png,24,1360,49,45
naruto_161.png,127,1377,41,21
naruto_162.png,27,1430,36,52
naruto_163.png,100,1430,36,52
naruto_164.png,174,1430,35,52
naruto_165.png,248,1430,34,52
naruto_166.png,316,1433,36,49
naruto_167.png,383,1436,37,46
naruto_168.png,456,1436,37,46
naruto_169.png,543,1436,45,46
naruto_170.png,612,1437,49,45
naruto_171.png,684,1441,55,40
naruto_172.png,28,1511,54,41
naruto_173.png,250,1508,40,45
naruto_174.png,323,1503,32,50
naruto_175.png,392,1501,36,52
naruto_176.png,465,1501,36,52
naruto_177.png,539,1501,35,52
naruto_178.png,613,1501,34,52
naruto_179.png,685,1510,33,43
naruto_180.png,105,1512,52,41
naruto_181.png,178,1513,52,40
naruto_182.png,26,1573,51,47
naruto_183.png,325,1581,28,35
naruto_184.png,393,1568,31,43
naruto_185.png,464,1571,53,51
naruto_186.png,537,1576,53,56
naruto_187.png,610,1576,33,56
naruto_188.png,683,1576,33,50
naruto_189.png,105,1589,35,28
naruto_190.png,178,1586,28,35
naruto_191.png,246,1586,35,28
naruto_192.png,26,1646,33,48
naruto_193.png,22,1705,36,52
naruto_194.png,95,1705,36,52
naruto_195.png,169,1705,35,52
naruto_196.png,243,1705,34,52
naruto_197.png,318,1707,32,50
naruto_198.png,392,1709,39,48
naruto_199.png,465,1709,39,48
naruto_200.png,530,1708,36,49
naruto_201.png,597,1711,37,46
naruto_202.png,670,1711,37,46
naruto_203.png,27,1774,45,46
naruto_204.png,96,1775,49,45
naruto_205.png,464,1775,40,45
naruto_206.png,537,1770,32,50
naruto_207.png,606,1768,36,52
naruto_208.png,679,1768,36,52
naruto_209.png,168,1779,55,40
naruto_210.png,242,1778,54,41
naruto_211.png,319,1779,52,41
naruto_212.png,392,1780,52,40
naruto_213.png,23,1831,35,52
naruto_214.png,97,1831,34,52
naruto_215.png,168,1831,36,52
naruto_216.png,23,1895,36,52
naruto_217.png,93,1895,36,52
naruto_218.png,164,1895,35,52
naruto_219.png,235,1895,34,52
naruto_220.png,303,1900,36,47
naruto_221.png,373,1904,36,43
naruto_222.png,443,1903,36,44
naruto_223.png,514,1903,46,43
naruto_224.png,582,1904,48,42
naruto_225.png,653,1906,55,40
naruto_226.png,307,1963,32,50
naruto_227.png,374,1960,33,53
naruto_228.png,444,1963,39,50
naruto_229.png,514,1963,28,50
naruto_230.png,583,1965,32,48
naruto_231.png,647,1961,41,52
naruto_232.png,24,1971,54,41
naruto_233.png,98,1972,52,41
naruto_234.png,168,1973,52,40
naruto_235.png,237,1968,40,45
naruto_236.png,15,2029,42,50
naruto_237.png,97,2029,37,50
naruto_238.png,163,2027,36,52
naruto_239.png,233,2027,36,52
naruto_240.png,304,2027,35,52
naruto_241.png,375,2027,34,52
naruto_242.png,446,2036,33,43
naruto_243.png,514,2027,39,51
naruto_244.png,584,2027,39,51
naruto_245.png,648,2033,44,45
naruto_246.png,18,2099,44,45
naruto_247.png,93,2097,37,46
naruto_248.png,163,2098,37,45
naruto_249.png,237,2099,32,46
naruto_250.png,307,2101,31,44
naruto_251.png,377,2102,32,43
naruto_252.png,448,2099,30,46
