file,x,y,w,h
naruto_full_nine_tails_8_000.png,26,24,83,50
naruto_full_nine_tails_8_001.png,144,25,91,47
naruto_full_nine_tails_8_002.png,257,13,82,59
naruto_full_nine_tails_8_003.png,374,21,90,54
naruto_full_nine_tails_8_004.png,471,36,81,51
naruto_full_nine_tails_8_005.png,575,53,86,60
naruto_full_nine_tails_8_006.png,679,59,94,27
naruto_full_nine_tails_8_007.png,788,10,73,76
naruto_full_nine_tails_8_008.png,867,37,71,69
naruto_full_nine_tails_8_009.png,950,38,66,61
naruto_full_nine_tails_8_010.png,1011,23,77,64
