file,x,y,w,h
ichigo_000.png,86,25,23,56
ichigo_001.png,124,25,23,56
ichigo_002.png,564,89,50,62
ichigo_003.png,62,107,41,45
ichigo_004.png,119,107,44,44
ichigo_005.png,184,106,40,45
ichigo_006.png,240,107,38,44
ichigo_007.png,294,107,40,44
ichigo_008.png,349,107,44,45
ichigo_009.png,413,106,39,46
ichigo_010.png,631,107,50,44
ichigo_011.png,510,160,39,9
ichigo_012.png,60,178,33,54
ichigo_013.png,107,178,33,54
ichigo_014.png,164,178,34,46
ichigo_015.png,210,178,34,46
ichigo_016.png,512,190,35,54
ichigo_017.png,617,190,33,54
ichigo_018.png,9,195,93,67
ichigo_019.png,258,200,36,44
ichigo_020.png,307,200,153,127
ichigo_021.png,564,192,38,52
ichigo_022.png,9,273,82,72
ichigo_023.png,107,280,38,47
ichigo_024.png,177,274,32,53
ichigo_025.png,334,276,55,38
ichigo_026.png,481,281,54,37
ichigo_027.png,556,301,48,27
ichigo_028.png,371,358,55,34
ichigo_029.png,9,371,61,23
ichigo_030.png,86,372,60,22
ichigo_031.png,168,371,60,24
ichigo_032.png,250,373,60,20
ichigo_033.png,443,370,47,37
ichigo_034.png,693,376,43,40
ichigo_035.png,753,370,33,46
ichigo_036.png,808,362,25,53
ichigo_037.png,533,403,59,15
ichigo_038.png,631,385,47,33
ichigo_039.png,9,426,50,9
ichigo_040.png,366,443,39,59
ichigo_041.png,420,474,43,31
ichigo_042.png,478,467,31,43
ichigo_043.png,524,475,43,31
ichigo_044.png,582,465,31,43
ichigo_045.png,629,458,40,44
ichigo_046.png,9,497,30,63
ichigo_047.png,181,497,19,58
ichigo_048.png,221,496,51,45
ichigo_049.png,289,480,61,29
ichigo_050.png,309,572,98,8
ichigo_051.png,9,607,27,53
ichigo_052.png,55,612,26,48
ichigo_053.png,196,607,27,53
ichigo_054.png,314,623,16,16
ichigo_055.png,349,605,45,54
ichigo_056.png,407,603,46,54
ichigo_057.png,469,601,46,51
ichigo_058.png,538,619,28,35
ichigo_059.png,9,671,60,9
ichigo_060.png,447,671,129,9
ichigo_061.png,9,693,35,54
ichigo_062.png,60,695,35,52
ichigo_063.png,330,693,32,54
ichigo_064.png,448,694,34,53
ichigo_065.png,641,693,61,52
ichigo_066.png,789,695,62,51
ichigo_067.png,1021,695,32,53
ichigo_068.png,115,696,44,51
ichigo_069.png,176,702,59,45
ichigo_070.png,253,701,59,46
ichigo_071.png,498,698,49,49
ichigo_072.png,566,699,58,48
ichigo_073.png,719,696,53,50
ichigo_074.png,868,699,61,48
ichigo_075.png,947,699,57,48
ichigo_076.png,9,759,107,9
ichigo_077.png,101,779,103,80
ichigo_078.png,387,786,37,52
ichigo_079.png,9,803,86,75
ichigo_080.png,161,803,40,56
ichigo_081.png,217,803,36,56
ichigo_082.png,268,803,23,56
ichigo_083.png,487,801,30,30
ichigo_084.png,618,869,103,9
ichigo_085.png,748,887,48,56
ichigo_086.png,9,899,33,49
ichigo_087.png,62,909,41,39
ichigo_088.png,124,901,44,46
ichigo_089.png,191,901,41,46
ichigo_090.png,254,898,45,49
ichigo_091.png,321,888,41,59
ichigo_092.png,385,891,35,56
ichigo_093.png,438,896,37,52
ichigo_094.png,498,894,26,54
ichigo_095.png,621,900,41,47
ichigo_096.png,680,895,49,48
ichigo_097.png,819,889,55,52
ichigo_098.png,895,899,47,56
ichigo_099.png,964,901,36,50
ichigo_100.png,9,968,61,9
ichigo_101.png,590,969,98,8
ichigo_102.png,9,992,42,48
ichigo_103.png,68,987,26,53
ichigo_104.png,116,989,47,51
ichigo_105.png,178,993,64,47
ichigo_106.png,258,995,48,45
ichigo_107.png,330,995,48,45
ichigo_108.png,400,989,40,51
ichigo_109.png,457,988,37,52
ichigo_110.png,592,992,71,20
ichigo_111.png,694,992,45,37
ichigo_112.png,797,992,73,48
ichigo_113.png,886,992,82,48
ichigo_114.png,9,1051,130,9
ichigo_115.png,171,1077,37,63
ichigo_116.png,227,1077,37,63
ichigo_117.png,828,1068,136,19
ichigo_118.png,9,1094,149,63
ichigo_119.png,277,1090,37,50
ichigo_120.png,326,1100,64,40
ichigo_121.png,403,1100,64,40
ichigo_122.png,478,1091,47,49
ichigo_123.png,538,1092,57,48
ichigo_124.png,607,1086,41,54
ichigo_125.png,661,1096,40,44
ichigo_126.png,715,1096,40,44
ichigo_127.png,770,1092,43,48
ichigo_128.png,829,1092,61,48
ichigo_129.png,900,1092,61,48
ichigo_130.png,975,1087,31,53
ichigo_131.png,400,1163,110,57
ichigo_132.png,52,1176,53,55
ichigo_133.png,117,1179,77,63
ichigo_134.png,261,1187,128,42
ichigo_135.png,9,1211,25,29
ichigo_136.png,206,1205,46,31
ichigo_137.png,144,1264,77,66
ichigo_138.png,518,1250,159,80
ichigo_139.png,240,1282,78,48
ichigo_140.png,340,1272,77,58
ichigo_141.png,436,1277,64,53
ichigo_142.png,519,1274,72,56
ichigo_143.png,569,1341,98,8
ichigo_144.png,62,1380,40,49
ichigo_145.png,120,1378,50,50
ichigo_146.png,274,1382,77,46
ichigo_147.png,365,1383,78,45
ichigo_148.png,455,1377,40,51
ichigo_149.png,575,1391,52,30
ichigo_150.png,638,1391,52,30
ichigo_151.png,704,1389,52,32
ichigo_152.png,771,1389,47,23
ichigo_153.png,932,1380,70,35
ichigo_154.png,1017,1381,35,26
ichigo_155.png,830,1397,88,18
ichigo_156.png,197,1462,52,49
ichigo_157.png,261,1462,52,49
ichigo_158.png,326,1462,52,49
