file,x,y,w,h
rukia_000.png,21,100,37,44
rukia_001.png,108,100,30,44
rukia_002.png,182,105,39,39
rukia_003.png,254,106,53,38
rukia_004.png,343,100,31,44
rukia_005.png,422,102,32,42
rukia_006.png,504,100,30,44
rukia_007.png,582,96,32,51
rukia_008.png,662,96,32,51
rukia_009.png,740,96,38,50
rukia_010.png,20,175,38,50
rukia_011.png,104,183,32,40
rukia_012.png,180,188,35,35
rukia_013.png,263,175,28,48
rukia_014.png,344,181,28,42
rukia_015.png,420,179,32,44
rukia_016.png,498,183,33,40
rukia_017.png,582,179,30,44
rukia_018.png,654,180,46,28
rukia_019.png,734,192,39,31
rukia_020.png,418,262,33,40
rukia_021.png,498,262,33,40
rukia_022.png,574,259,46,28
rukia_023.png,654,259,46,28
rukia_024.png,744,240,25,61
rukia_025.png,15,287,47,15
rukia_026.png,92,266,49,24
rukia_027.png,172,268,48,16
rukia_028.png,252,264,50,25
rukia_029.png,332,267,50,21
rukia_030.png,31,319,18,61
rukia_031.png,116,319,24,63
rukia_032.png,186,319,24,51
rukia_033.png,253,330,37,42
rukia_034.png,424,326,32,47
rukia_035.png,320,337,50,33
rukia_036.png,503,350,32,22
rukia_037.png,583,350,22,32
rukia_038.png,663,350,22,32
rukia_039.png,741,350,32,22
rukia_040.png,31,427,22,32
rukia_041.png,267,431,38,29
rukia_042.png,349,427,28,33
rukia_043.png,428,422,27,38
rukia_044.png,504,413,30,47
rukia_045.png,584,412,27,48
rukia_046.png,664,411,22,49
rukia_047.png,744,410,18,50
rukia_048.png,103,437,32,22
rukia_049.png,186,435,38,25
rukia_050.png,24,490,18,49
rukia_051.png,104,491,27,48
rukia_052.png,184,490,22,49
rukia_053.png,264,489,19,50
rukia_054.png,344,489,20,50
rukia_055.png,424,495,30,44
rukia_056.png,505,500,29,39
rukia_057.png,585,505,29,34
rukia_058.png,665,506,29,33
rukia_059.png,745,507,29,32
rukia_060.png,19,570,31,48
rukia_061.png,106,572,37,46
rukia_062.png,180,570,45,48
rukia_063.png,267,570,25,48
rukia_064.png,349,570,25,48
rukia_065.png,424,571,25,47
rukia_066.png,501,572,28,46
rukia_067.png,581,572,35,46
rukia_068.png,661,572,35,46
rukia_069.png,744,571,28,47
rukia_070.png,25,650,29,47
rukia_071.png,104,652,30,45
rukia_072.png,179,653,33,44
rukia_073.png,261,655,51,42
rukia_074.png,341,656,50,41
rukia_075.png,424,653,39,44
rukia_076.png,505,653,29,44
rukia_077.png,586,652,28,45
rukia_078.png,666,653,27,44
rukia_079.png,746,653,27,44
rukia_080.png,26,733,26,43
rukia_081.png,106,732,44,44
rukia_082.png,186,732,44,44
rukia_083.png,266,732,37,44
rukia_084.png,345,731,27,45
rukia_085.png,423,733,30,43
rukia_086.png,503,736,29,40
rukia_087.png,586,730,32,45
