file,x,y,w,h
vizard_ichigo_000.png,7,0,46,54
vizard_ichigo_001.png,68,0,52,54
vizard_ichigo_002.png,132,0,51,54
vizard_ichigo_003.png,200,0,50,54
vizard_ichigo_004.png,289,1,47,55
vizard_ichigo_005.png,354,1,120,56
vizard_ichigo_006.png,485,3,51,54
vizard_ichigo_007.png,551,4,57,54
vizard_ichigo_008.png,7,79,54,43
vizard_ichigo_009.png,80,82,55,40
vizard_ichigo_010.png,154,81,56,41
vizard_ichigo_011.png,231,80,56,42
vizard_ichigo_012.png,312,79,53,43
vizard_ichigo_013.png,390,82,55,40
vizard_ichigo_014.png,466,81,56,41
vizard_ichigo_015.png,540,80,56,42
vizard_ichigo_016.png,14,168,49,47
vizard_ichigo_017.png,86,160,42,52
vizard_ichigo_018.png,146,161,44,43
vizard_ichigo_019.png,205,152,50,59
vizard_ichigo_020.png,269,160,49,47
vizard_ichigo_021.png,340,170,50,37
vizard_ichigo_022.png,408,160,49,47
vizard_ichigo_023.png,13,253,47,45
vizard_ichigo_024.png,76,256,49,42
vizard_ichigo_025.png,142,256,48,42
vizard_ichigo_026.png,206,256,66,42
vizard_ichigo_027.png,289,252,42,46
vizard_ichigo_028.png,351,248,38,50
vizard_ichigo_029.png,424,261,30,18
vizard_ichigo_030.png,472,268,56,27
vizard_ichigo_031.png,12,320,46,71
vizard_ichigo_032.png,74,339,51,52
vizard_ichigo_033.png,149,349,91,42
vizard_ichigo_034.png,255,351,53,40
vizard_ichigo_035.png,328,342,42,49
vizard_ichigo_036.png,392,338,49,53
vizard_ichigo_037.png,440,326,68,61
vizard_ichigo_038.png,524,385,19,12
vizard_ichigo_039.png,571,389,29,8
vizard_ichigo_040.png,10,422,42,52
vizard_ichigo_041.png,67,427,47,47
vizard_ichigo_042.png,134,427,59,47
vizard_ichigo_043.png,210,426,65,48
vizard_ichigo_044.png,293,432,66,42
vizard_ichigo_045.png,375,431,65,43
vizard_ichigo_046.png,454,427,47,47
vizard_ichigo_047.png,516,422,42,52
vizard_ichigo_048.png,256,503,87,41
vizard_ichigo_049.png,355,491,96,34
vizard_ichigo_050.png,98,536,58,10
vizard_ichigo_051.png,168,528,73,18
vizard_ichigo_052.png,15,586,51,45
vizard_ichigo_053.png,84,574,72,57
vizard_ichigo_054.png,172,575,68,56
vizard_ichigo_055.png,256,576,55,55
vizard_ichigo_056.png,330,578,53,53
vizard_ichigo_057.png,8,659,42,52
vizard_ichigo_058.png,64,664,46,47
vizard_ichigo_059.png,127,668,47,43
vizard_ichigo_060.png,189,669,55,42
vizard_ichigo_061.png,255,669,56,42
vizard_ichigo_062.png,325,666,59,45
vizard_ichigo_063.png,397,656,45,55
vizard_ichigo_064.png,457,658,43,53
vizard_ichigo_065.png,515,667,78,44
vizard_ichigo_066.png,8,740,60,42
vizard_ichigo_067.png,80,740,67,42
vizard_ichigo_068.png,160,736,42,46
vizard_ichigo_069.png,217,731,38,51
vizard_ichigo_070.png,416,764,95,136
vizard_ichigo_071.png,524,764,87,136
vizard_ichigo_072.png,20,802,114,78
vizard_ichigo_073.png,152,802,113,75
vizard_ichigo_074.png,284,803,113,77
vizard_ichigo_075.png,0,910,64,41
vizard_ichigo_076.png,248,907,80,64
vizard_ichigo_077.png,352,929,86,42
vizard_ichigo_078.png,80,953,84,21
vizard_ichigo_079.png,1,1001,42,52
vizard_ichigo_080.png,59,1006,46,47
vizard_ichigo_081.png,120,1010,48,43
vizard_ichigo_082.png,183,1011,55,42
vizard_ichigo_083.png,253,1011,56,42
vizard_ichigo_084.png,321,1003,46,50
vizard_ichigo_085.png,384,1003,47,50
vizard_ichigo_086.png,451,998,37,58
vizard_ichigo_087.png,507,999,48,58
vizard_ichigo_088.png,572,998,48,59
vizard_ichigo_089.png,12,1076,108,60
vizard_ichigo_090.png,134,1077,47,54
vizard_ichigo_091.png,25,1166,31,84
vizard_ichigo_092.png,77,1165,29,85
vizard_ichigo_093.png,148,1194,77,45
vizard_ichigo_094.png,240,1194,75,46
vizard_ichigo_095.png,369,1200,79,40
vizard_ichigo_096.png,460,1201,77,40
